57,4,5,5,2,3,Blue
57,4,5,5,2,3,Blue
57,4,5,5,2,3,Blue
57,4,5,5,2,3,Blue
53,5,4,3,2,2,Yellow
53,5,4,3,2,2,Yellow
55,4,4,5,4,3,Red
53,5,4,3,2,2,Yellow
53,5,4,3,2,2,Yellow
55,4,4,5,4,3,Red
59,3,4,3,4,2,Blue
54,5,5,3,2,3,Blue
53,5,4,3,2,2,Yellow
59,4,5,4,2,2,Green
54,5,5,3,2,3,Blue
59,3,4,3,4,2,Blue
52,4,5,5,1,1,Red
46,4,5,3,3,4,Blue
55,4,4,5,4,3,Red
53,5,4,3,2,2,Yellow
51,4,5,4,2,2,Yellow
54,5,4,5,1,2,Red
57,5,5,2,2,4,Red
55,4,4,5,4,3,Red
59,4,5,4,2,2,Green
51,4,5,4,2,2,Yellow
53,5,4,3,2,2,Yellow
54,5,5,3,2,3,Blue
57,5,5,2,2,4,Red
51,4,5,4,2,2,Yellow
46,4,5,3,3,4,Blue
54,5,4,5,1,2,Red
59,3,4,3,4,2,Blue
48,4,5,1,3,3,Yellow
55,4,4,5,4,3,Red
54,5,4,5,1,2,Red
57,5,5,2,2,4,Red
52,4,5,5,1,1,Red
53,5,4,3,2,2,Yellow
59,4,5,4,2,2,Green
51,4,5,4,2,2,Yellow
57,5,5,2,2,4,Red
54,5,4,5,1,2,Red
51,4,5,4,2,2,Yellow
55,4,4,5,4,3,Red
59,3,4,3,4,2,Blue
48,4,5,1,3,3,Yellow
57,5,5,2,2,4,Red
54,5,4,5,1,2,Red
54,5,5,3,2,3,Blue
53,5,4,3,2,2,Yellow
45,4,5,3,2,3,Blue
53,5,3,5,2,3,Red
51,4,5,4,2,2,Yellow
55,4,4,5,4,3,Red
54,5,4,5,1,2,Red
59,4,5,4,2,2,Green
57,5,5,2,2,4,Red
48,4,5,1,3,3,Yellow
55,4,4,5,4,3,Red
51,4,5,4,2,2,Yellow
59,3,4,3,4,2,Blue
45,4,5,3,2,3,Blue
51,4,5,4,2,2,Yellow
59,4,5,4,2,2,Green
51,4,5,4,2,2,Yellow
48,4,5,1,3,3,Yellow
53,5,4,3,2,2,Yellow
45,4,5,3,2,3,Blue
54,5,5,3,2,3,Blue
55,4,4,5,4,3,Red
51,4,5,4,2,2,Yellow
48,4,5,1,3,3,Yellow
59,4,5,4,2,2,Green
54,5,4,5,1,2,Red
55,4,4,5,4,3,Red
48,4,5,1,3,3,Yellow
54,5,4,5,1,2,Red
54,5,5,3,2,3,Blue
59,3,4,3,4,2,Blue
49,4,4,1,5,2,Red
54,5,4,5,1,2,Red
45,4,5,3,2,3,Blue
48,4,5,1,3,3,Yellow
45,4,5,3,2,3,Blue
59,3,4,3,4,2,Blue
45,4,5,3,2,3,Blue
54,5,4,5,1,2,Red
48,4,5,1,3,3,Yellow
54,5,5,3,2,3,Blue
45,4,5,3,2,3,Blue
45,4,5,3,2,3,Blue
45,4,5,3,2,3,Blue
59,3,4,3,4,2,Blue
54,5,5,3,2,3,Blue
59,4,5,4,2,2,Green
49,4,4,1,5,2,Red
64,2,5,5,5,3,Blue
52,4,5,5,1,1,Red
59,3,4,3,4,2,Blue
52,4,5,5,1,1,Red
48,4,5,1,3,3,Yellow
59,3,4,3,4,2,Blue
59,3,4,3,4,2,Blue
48,4,5,1,3,3,Yellow
64,2,5,5,5,3,Blue
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
52,4,5,5,1,1,Red
64,2,5,5,5,3,Blue
52,4,5,5,1,1,Red
